ERROR    - 2024-07-14 15:34:45,198. В модуле "Task01" в строке 020 функция "div_func()" в 1720960485.1984 секунд записала сообщение: Ошибка: деление на ноль!
INFO     - 2024-07-14 15:51:40,118. В модуле "Task02" в строке 020 функция "wrapper()" в 1720961500.118468 секунд записала сообщение: {'result': 46, 'args': (10, 5, 15, 16), 'z': 8, 'c': 'Привет'}
INFO     - 2024-07-14 15:51:40,118. В модуле "Task02" в строке 020 функция "wrapper()" в 1720961500.118722 секунд записала сообщение: {'result': 0, 'args': (), 'x': 20, 'y': 3}
INFO     - 2024-07-14 15:51:40,118. В модуле "Task02" в строке 020 функция "wrapper()" в 1720961500.118772 секунд записала сообщение: {'result': 1099, 'args': (100, 999)}
INFO     - 2024-07-14 16:08:44,818. В модуле "task02" в строке 032 функция "wrapper()" в 1720962524.818681 секунд записала сообщение: {'result': 46, 'args': (10, 5, 15, 16), 'z': 8, 'c': 'Привет'}
INFO     - 2024-07-14 16:08:44,818. В модуле "task02" в строке 032 функция "wrapper()" в 1720962524.818879 секунд записала сообщение: {'result': 0, 'args': (), 'x': 20, 'y': 3}
INFO     - 2024-07-14 16:08:44,818. В модуле "task02" в строке 032 функция "wrapper()" в 1720962524.818933 секунд записала сообщение: {'result': 1099, 'args': (100, 999)}
INFO     - 2024-07-14 16:18:55,349. В модуле "task03" в строке 033 функция "wrapper()" в 1720963135.349691 секунд записала сообщение: Аргументы функции (10, 5, 15, 16), результат: 46
INFO     - 2024-07-14 16:18:55,349. В модуле "task03" в строке 033 функция "wrapper()" в 1720963135.349816 секунд записала сообщение: Аргументы функции (), результат: 0
INFO     - 2024-07-14 16:18:55,349. В модуле "task03" в строке 033 функция "wrapper()" в 1720963135.3498619 секунд записала сообщение: Аргументы функции (100, 999), результат: 1099
INFO     - 2024-07-14 16:20:45,260. В модуле "task03" в строке 033 функция "wrapper()" в 1720963245.260976 секунд записала сообщение: Функция: sum_numbers, Аргументы функции (10, 5, 15, 16), результат: 46
INFO     - 2024-07-14 16:20:45,261. В модуле "task03" в строке 033 функция "wrapper()" в 1720963245.261101 секунд записала сообщение: Функция: sum_numbers, Аргументы функции (), результат: 0
INFO     - 2024-07-14 16:20:45,261. В модуле "task03" в строке 033 функция "wrapper()" в 1720963245.261154 секунд записала сообщение: Функция: sum_numbers, Аргументы функции (100, 999), результат: 1099
INFO     - 2024-07-14 16:21:40,744. В модуле "task03" в строке 033 функция "wrapper()" в 1720963300.74419 секунд записала сообщение: Функция: sum_numbers, Аргументы функции {'args': (10, 5, 15, 16), 'z': 8, 'c': 'Привет'}, результат: 46
INFO     - 2024-07-14 16:21:40,744. В модуле "task03" в строке 033 функция "wrapper()" в 1720963300.744294 секунд записала сообщение: Функция: sum_numbers, Аргументы функции {'args': (), 'x': 20, 'y': 3}, результат: 0
INFO     - 2024-07-14 16:21:40,744. В модуле "task03" в строке 033 функция "wrapper()" в 1720963300.744332 секунд записала сообщение: Функция: sum_numbers, Аргументы функции {'args': (100, 999)}, результат: 1099
INFO     - 2024-07-14 16:22:58,327. Функция: sum_numbers, Аргументы функции {'args': (10, 5, 15, 16), 'z': 8, 'c': 'Привет'}, результат: 46
INFO     - 2024-07-14 16:22:58,327. Функция: sum_numbers, Аргументы функции {'args': (), 'x': 20, 'y': 3}, результат: 0
INFO     - 2024-07-14 16:22:58,327. Функция: sum_numbers, Аргументы функции {'args': (100, 999)}, результат: 1099
